Kennziffer;Raumeinheit;Aggregat;Einwohner 65 Jahre und älter;Durchschnittsalter der Bevölkerung ;Krankenhausbetten;Ärzte je  Einwohner;Einpendler;Auspendler
;;;2017;2017;2016;2017;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"20,2";"42,2";"9,47";"21,7";"52,4";"34,2"
"01002";"Kiel, Stadt";"krsfr. Stadt";"18,5";"41,5";"9,84";"23,0";"49,1";"30,3"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"23,2";"44,7";"9,15";"21,7";"43,6";"31,3"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"22,6";"44,2";"8,62";"16,4";"54,5";"38,6"
"01051";"Dithmarschen";"Landkreis";"24,6";"45,8";"5,26";"12,8";"70,8";"73,5"
"01053";"Herzogtum Lauenburg";"Landkreis";"22,3";"44,6";"3,14";"12,6";"71,7";"79,7"
"01054";"Nordfriesland";"Landkreis";"23,9";"45,4";"4,39";"13,3";"66,0";"65,7"
"01055";"Ostholstein";"Landkreis";"27,3";"47,7";"8,24";"15,2";"65,9";"70,8"
"01056";"Pinneberg";"Landkreis";"22,1";"44,4";"3,11";"12,8";"74,2";"81,0"
"01057";"Plön";"Landkreis";"25,8";"46,7";"1,93";"12,6";"74,3";"83,8"
"01058";"Rendsburg-Eckernförde";"Landkreis";"23,2";"45,2";"4,11";"13,4";"77,6";"81,5"
"01059";"Schleswig-Flensburg";"Landkreis";"23,6";"45,1";"3,47";"11,6";"75,8";"79,5"
"01060";"Segeberg";"Landkreis";"21,7";"44,3";"6,13";"11,8";"74,7";"79,2"
"01061";"Steinburg";"Landkreis";"22,6";"45,1";"4,50";"13,6";"71,8";"76,4"
"01062";"Stormarn";"Landkreis";"23,0";"45,0";"4,72";"12,7";"82,1";"83,4"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"18,4";"41,7";"6,93";"18,2";"36,3";"17,1"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"21,0";"43,4";"8,07";"19,9";"50,0";"35,4"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"22,8";"43,9";"4,28";"16,9";"51,9";"39,6"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"22,3";"44,1";"4,44";"16,9";"64,6";"17,7"
